City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Saint-Philippe,RE,83.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Hobart,AU,78.22,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
8,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
11,Rikitea,PF,79.2,clear sky,-23.1203,-134.9692,People ThankYou
21,Port Alfred,ZA,75.51,overcast clouds,-33.5906,26.891,The Halyards Hotel
22,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
31,Carnarvon,AU,89.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
32,Quatre Cocos,MU,86.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
43,Cuamba,MZ,75.92,light rain,-14.8031,36.5372,Hotel Vision
44,Esperance,AU,76.84,clear sky,-33.8667,121.9,Hospitality Esperance
51,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
52,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
53,Busselton,AU,83.16,clear sky,-33.65,115.3333,Observatory Guest House
54,Bambous Virieux,MU,86.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
57,Georgetown,MY,89.53,scattered clouds,5.4112,100.3354,Cititel Penang
58,Ballina,AU,77.18,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
70,Sambava,MG,82.65,clear sky,-14.2667,50.1667,Melrose
73,Bandrele,YT,85.75,light rain,-12.9067,45.1914,Les Baobabs
75,Cockburn Town,TC,77.18,clear sky,21.4612,-71.1419,Osprey Beach Hotel
76,Tura,IN,75.72,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
78,Loiza,PR,75.87,broken clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
79,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
82,Acajutla,SV,77.81,scattered clouds,13.5928,-89.8275,Laureles
83,Hobyo,SO,81.37,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
89,New Norfolk,AU,77.88,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
91,Noumea,NC,84.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
95,Champerico,GT,80.04,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
96,Sorong,ID,82.89,moderate rain,-0.8833,131.25,Waigo Splash Hotel
100,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
118,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
122,East London,ZA,77.94,broken clouds,-33.0153,27.9116,Tu Casa
129,Atuona,PF,78.03,light rain,-9.8,-139.0333,Villa Enata
132,Mahebourg,MU,86.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
136,Labuhan,ID,84.15,overcast clouds,-6.8844,112.2051,DoubleFAG
137,Akyab,MM,75.74,overcast clouds,20.15,92.9,Hotel Memory
138,Geraldton,AU,88.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
143,Souillac,MU,86.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
153,Butaritari,KI,82.47,light rain,3.0707,172.7902,Isles Sunset Lodge
162,Richards Bay,ZA,82.26,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
166,Kudahuvadhoo,MV,80.96,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
172,Hithadhoo,MV,81.73,broken clouds,-0.6,73.0833,Scoop Guest House
173,Alenquer,BR,75.54,overcast clouds,-1.9417,-54.7383,Detinha Hotel
179,Hambantota,LK,88.14,heavy intensity rain,6.1241,81.1185,Bungalow 63
180,Samarai,PG,82.54,scattered clouds,-10.6167,150.6667,Nuli Sapi
195,Omboue,GA,79.77,light rain,-1.5746,9.2618,Hotel Olako
196,Bang Saphan,TH,87.75,scattered clouds,11.2126,99.5117,Ladawan Boutique Hotel
197,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
199,Saint-Joseph,RE,84.56,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
200,Kavieng,PG,82.11,light rain,-2.5744,150.7967,Nusa Island Retreat
202,Takoradi,GH,78.78,scattered clouds,4.8845,-1.7554,Raybow International Hotel
216,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
220,Sinnamary,GF,75.6,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
224,Kiama,AU,78.28,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
226,Port Macquarie,AU,75.16,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
234,Byron Bay,AU,77.11,scattered clouds,-28.65,153.6167,Backpackers Inn
238,Point Pedro,LK,80.19,light rain,9.8167,80.2333,Gtr homes
246,Puerto Colombia,CO,78.4,few clouds,10.9878,-74.9547,Hotel El Emigrante
248,Faanui,PF,81.63,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
249,Bitung,ID,85.05,overcast clouds,1.4451,125.1824,K2 Lembeh
251,Tabou,CI,76.89,light rain,4.423,-7.3528,hotêl doufoulougou
252,Carutapera,BR,75.36,overcast clouds,-1.195,-46.02,Lidera
253,Montes Altos,BR,75.69,overcast clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
257,Yenagoa,NG,79.39,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
262,Moranbah,AU,88.45,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
263,Saint-Georges,GD,77.14,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
268,Muli,MV,81.25,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
271,Pangkalanbuun,ID,84.78,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
278,Vaitape,PF,81.64,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
280,Hasilpur,PK,76.51,clear sky,29.7122,72.5553,"Masjid Noor, Tahir Colony, Purana Hasilpur"
283,Xuddur,SO,80.87,broken clouds,4.1213,43.8894,Banjanay Hotel
284,Epe,NG,78.35,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
285,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
291,Grand Gaube,MU,86.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
293,Diu,IN,79.66,clear sky,20.7141,70.9822,Hotel Relax Inn
299,Mackay,AU,83.68,scattered clouds,-21.15,149.2,International Lodge Motel
320,Puerto Escondido,MX,76.68,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
328,Hervey Bay,AU,75.31,clear sky,-25.2986,152.8535,Shelly Bay Resort
329,Touros,BR,79.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
332,Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
336,Road Town,VG,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
341,Galle,LK,79.83,overcast clouds,6.0367,80.217,Amangalla
343,Bandarbeyla,SO,78.69,light rain,9.4942,50.8122,JABIR HOTEL
351,Teahupoo,PF,76.53,overcast clouds,-17.8333,-149.2667,Vanira Lodge
352,Conde,BR,78.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
354,Beira,MZ,78.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
357,Dubbo,AU,84.33,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
361,Kulhudhuffushi,MV,81.77,overcast clouds,6.6221,73.07,Haajy Guest House 1
373,Bengkulu,ID,84.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
374,Beitbridge,ZW,78.98,clear sky,-22.2167,30.0,Beitbridge Express Hotel
390,Mogadishu,SO,82.27,few clouds,2.0371,45.3438,Hotel Juba
392,La Palma,US,75.7,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
410,Sao Filipe,CV,75.83,overcast clouds,14.8961,-24.4956,Hotel Xaguate
413,Bentiu,SS,84.6,broken clouds,9.2333,29.8333,Mandela hôtel
423,Harper,LR,76.44,moderate rain,4.375,-7.7169,Screensaver
431,Alyangula,AU,82.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
433,Mount Gambier,AU,78.71,overcast clouds,-37.8333,140.7667,The Commodore
435,Robertsport,LR,75.92,few clouds,6.7533,-11.3686,Kwepunha Retreat
439,Porlamar,VE,77.09,overcast clouds,10.958,-63.8491,Hotel Bella Vista
440,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
441,Itarema,BR,76.35,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
442,Papetoai,PF,81.55,overcast clouds,-17.4961,-149.8729,Fare Vaihere
444,Jodhpur,IN,77.65,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
447,Kendari,ID,79.86,heavy intensity rain,-3.945,122.4989,Hotel Wixel
463,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
470,Upington,ZA,79.18,clear sky,-28.4478,21.2561,River Place Manor
474,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
476,Husainabad,IN,75.29,clear sky,24.5333,84.0167,Mustafa Ansari
477,Ratnagiri,IN,85.53,clear sky,16.9833,73.3,Hotel Landmark
485,Mecca,SA,77.72,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
