City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuatapere,NZ,-46.1333,167.6833,53.82,83,99,2.04,overcast clouds
1,Dikson,RU,73.5069,80.5464,-4.49,91,100,25.28,overcast clouds
2,Saint-Philippe,RE,-21.3585,55.7679,83.79,79,100,13.67,light rain
3,Severo-Kurilsk,RU,50.6789,156.125,20.75,70,19,3.87,few clouds
4,Cape Town,ZA,-33.9258,18.4232,74.88,76,0,17.27,clear sky
5,Hobart,AU,-42.8794,147.3294,78.22,49,75,16.11,broken clouds
6,Ribeira Grande,PT,38.5167,-28.7,60.91,85,100,15.28,overcast clouds
7,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,67,0,4.61,clear sky
8,Saint-Pierre,RE,-21.3393,55.4781,83.88,70,0,9.22,clear sky
9,Qaanaaq,GL,77.484,-69.3632,-15.66,47,2,9.8,clear sky
10,Fortuna,US,40.5982,-124.1573,49.12,100,0,9.22,clear sky
11,Rikitea,PF,-23.1203,-134.9692,79.2,70,0,16.55,clear sky
12,Yellowknife,CA,62.456,-114.3525,-17.45,82,20,9.22,few clouds
13,Nikolayevskaya,RU,47.6139,41.5023,31.82,66,6,10.56,clear sky
14,Puro,PH,12.4841,123.3827,82.02,73,100,14.34,overcast clouds
15,Great Falls,US,47.5002,-111.3008,34.99,57,0,12.66,clear sky
16,Melfi,IT,40.9965,15.6514,45.39,89,100,1.43,overcast clouds
17,Ushuaia,AR,-54.8,-68.3,44.26,70,75,6.91,broken clouds
18,Mataura,NZ,-46.1927,168.8643,53.47,97,100,2.53,overcast clouds
19,Rocha,UY,-34.4833,-54.3333,61.41,84,100,11.01,overcast clouds
20,Rawson,AR,-43.3002,-65.1023,69.08,35,10,8.39,clear sky
21,Port Alfred,ZA,-33.5906,26.891,75.51,85,100,19.1,overcast clouds
22,Vaini,TO,-21.2,-175.2,82.56,83,75,6.91,broken clouds
23,Salta,AR,-24.7859,-65.4117,59.59,90,100,2.3,overcast clouds
24,Lagoa,PT,39.05,-27.9833,59.32,80,64,16.11,broken clouds
25,Okha,RU,53.5739,142.9478,5.99,95,53,5.5,broken clouds
26,Kapaa,US,22.0752,-159.319,73.72,82,40,12.66,scattered clouds
27,Binucayan,PH,8.25,125.7167,85.03,65,69,2.37,broken clouds
28,Lasa,IT,46.6166,10.7002,27.86,34,88,1.12,overcast clouds
29,Beringovskiy,RU,63.05,179.3167,-24.97,95,7,5.28,clear sky
30,Asau,RO,46.4333,26.4,32.95,78,4,2.73,clear sky
31,Carnarvon,AU,-24.8667,113.6333,89.67,58,48,17.27,scattered clouds
32,Quatre Cocos,MU,-20.2078,57.7625,86.11,77,17,13.98,few clouds
33,Codrington,AU,-38.2667,141.9667,72.01,52,100,15.9,overcast clouds
34,Rio De Jesus,PA,7.9844,-81.1631,71.44,85,58,2.62,broken clouds
35,Klyuchi,RU,52.2667,79.1667,21.45,86,100,13.29,overcast clouds
36,Port Elizabeth,ZA,-33.918,25.5701,71.89,83,75,18.41,broken clouds
37,Hilo,US,19.7297,-155.09,73.13,73,100,8.05,overcast clouds
38,Aramil,RU,56.6977,60.8369,21.22,93,75,2.24,broken clouds
39,Iqaluit,CA,63.7506,-68.5145,-22.27,74,75,3.44,broken clouds
40,Bredasdorp,ZA,-34.5322,20.0403,72.28,65,27,6.51,scattered clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,72.12,88,26,5.21,scattered clouds
42,Port Lincoln,AU,-34.7333,135.8667,71.8,67,100,12.86,light rain
43,Cuamba,MZ,-14.8031,36.5372,75.92,84,81,1.59,light rain
44,Esperance,AU,-33.8667,121.9,76.84,56,0,16.84,clear sky
45,Saint Anthony,US,45.0205,-93.218,4.66,80,40,8.05,scattered clouds
46,Hermanus,ZA,-34.4187,19.2345,72.81,73,89,8.9,overcast clouds
47,Batsfjord,NO,70.6345,29.7185,19.0,71,1,12.53,clear sky
48,Concarneau,FR,47.875,-3.9225,50.83,87,100,22.21,overcast clouds
49,Rafaela,AR,-31.2503,-61.4867,55.98,53,0,1.01,clear sky
50,Ghauspur,PK,28.1391,69.0831,69.69,14,0,7.52,clear sky
51,Labuan,MY,5.2767,115.2417,84.56,79,20,5.99,few clouds
52,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,17.27,few clouds
53,Busselton,AU,-33.65,115.3333,83.16,39,0,6.4,clear sky
54,Bambous Virieux,MU,-20.3428,57.7575,86.25,74,40,14.97,scattered clouds
55,Zastron,ZA,-30.3023,27.084,74.32,36,2,3.09,clear sky
56,Katsuura,JP,35.1333,140.3,43.11,92,100,4.18,light rain
57,Georgetown,MY,5.4112,100.3354,89.53,67,40,9.22,scattered clouds
58,Ballina,AU,-28.8667,153.5667,77.18,71,75,17.27,broken clouds
59,Andenes,NO,69.3143,16.1194,26.58,68,20,17.27,few clouds
60,Husavik,IS,66.0449,-17.3389,17.51,95,46,14.07,scattered clouds
61,Ponta Do Sol,PT,32.6667,-17.1,62.06,70,57,4.23,broken clouds
62,Ilulissat,GL,69.2167,-51.1,10.42,79,75,8.05,broken clouds
63,Beyneu,KZ,45.3167,55.2,41.38,90,100,16.42,overcast clouds
64,Tateyama,JP,34.9833,139.8667,43.02,91,100,7.18,overcast clouds
65,Gamba,GA,-2.65,10.0,78.51,87,100,2.77,overcast clouds
